Market 1 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HPW350,Fort Myers,46295,,,,,76,On Track,Received,,,Yes,88272,Yes,Not Started,,,,,,7206,,7206,0,,,0,0,0,7/29 NTP Package Recived
D-HPW351,Fort Myers,46295,,,,,83,On Track,Received,,,Yes,57368,Yes,Not Started,,,,,,4517,,4517,0,,,0,0,0,7/24 NTP Package Recived
D-HPW361,Fort Myers,46229,,,,,82,On Track,Received,,,Yes,85513,Yes,Not Started,,,,,,6678,,6678,0,,,0,0,0,6/11 NTP Package Received.
FB-HPW331,Fort Myers,46227,Gulfstream,46213,Joshua,FM112418,0,On Track,Received,,,Yes,25174.45,Yes,Not Started,,,,,,2721,,2721,0,,,0,0,0,6/9 NTP Package Received
D-HTG201,Fort Myers,46203,Lopez Underground,46171,Joshua,,53,On Track,Received,,,Yes,56455,Yes,Completed,46174,,,,,4814,5133,-319,1.06626506024096,46184,46204,0,0,0,4/30 NTP Received 7-17-26 tillman approved bury the route that is on private property and close the job.
D-HTG210,Fort Myers,46265,Gulfstream,46231,Joshua,FM112876,77,On Track,Received,,,Yes,68598,Yes,Locates Called,46232,,,,,5803,,5803,0,,,0,0,0,7/17 NTP Received
D-HTG208,Fort Myers,46203,Lopez Underground,46141,Joshua,,74,On Track,Received,,,Yes,92274,Yes,In Process,46142,,,,,8145,7598,547,0.932842234499693,46149,,0,0,0,4/24 NTP Received 7-13-26 permit waiting on new permit
D-HTG212,Fort Myers,46264,Gulfstream,46231,Joshua,FM112875,85,On Track,Received,,,Yes,64416.5,Yes,Locates Called,46232,,,,,5445,,5445,0,,,0,0,0,7/24 NTP Package Recived
D-HTG213,Fort Myers,46295,HD Cable,46231,Joshua,FM112877,46,On Track,Received,,,Yes,54627.5,Yes,Locates Called,46232,,,,,4834,,4834,0,,,0,0,0,7/24 NTP Package Recived
D-HTG214,Fort Myers,46295,HD Cable,46231,Joshua,FM112878,82,On Track,Received,,,Yes,77688.5,Yes,Locates Called,46232,,,,,6136,,6136,0,,,0,0,0,7/24 NTP Package Recived
D-HTG215,Fort Myers,46264,Gulfstream,46219,Joshua,FM112727,56,On Track,Received,,,Yes,55008,Yes,In Process,46220,,,,,4625,4339,286,0.938162162162162,46231,,0,0,0,7/7 NTP Package Received.
